Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Arab World,ARB,"Population, total",SP.POP.TOTL,419851989,427870273,436080728
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,73.6636751380629,73.8323144976843,..
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.1159280909902,70.3081838301709,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.52,76.667,..
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,22797803,23020216,23239321
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,21696699,21918496,22137442
Argentina,ARG,"Population, total",SP.POP.TOTL,44494502,44938712,45376763
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,79.863,79.995,..
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.082,73.242,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.945,75.087,..
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1563141,1566459,1569487
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1388600,1391269,1393747
Armenia,ARM,"Population, total",SP.POP.TOTL,2951741,2957728,2963234
Armenia,ARM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,78.354,78.516,..
Armenia,ARM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.215,71.327,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.152,76.293,..
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,55602,55867,56124
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,50244,50443,50642
Aruba,ABW,"Population, total",SP.POP.TOTL,105846,106310,106766
Aruba,ABW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,78.507,78.641,..
Aruba,ABW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.628,73.768,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.7487804878049,82.9,..
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,12541215,12733486,12895213
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,12441473,12632259,12791828
Australia,AUS,"Population, total",SP.POP.TOTL,24982688,25365745,25687041
Australia,AUS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,84.9,85,..
Australia,AUS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.7,80.9,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6926829268293,81.7926829268293,..
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4493586,4507562,4521483
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4346935,4372358,4395722
Austria,AUT,"Population, total",SP.POP.TOTL,8840521,8879920,8917205
Austria,AUT,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,84.1,84.2,..
Austria,AUT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.4,79.5,..
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.864,73.005,..
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,4981391,5020148,5059967
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,4958380,5004135,5050149
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9939771,10024283,10110116
Azerbaijan,AZE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.336,75.455,..
Azerbaijan,AZE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.345,70.511,..
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.752,73.918,..
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,198313,200256,202155
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,187322,189230,191093
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,385635,389486,393248
"Bahamas, The",BHS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.911,76.081,..
"Bahamas, The",BHS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.499,71.659,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.163,77.292,..
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,570464,586367,601109
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,998976,1054797,1100474
Bahrain,BHR,"Population, total",SP.POP.TOTL,1569440,1641164,1701583
Bahrain,BHR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,78.285,78.423,..
Bahrain,BHR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,76.312,76.436,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.32,72.591,..
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,79699596,80572382,81430275
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,81677117,82473791,83259108
Bangladesh,BGD,"Population, total",SP.POP.TOTL,161376713,163046173,164689383
Bangladesh,BGD,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,74.291,74.595,..
Bangladesh,BGD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.637,70.877,..
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.081,79.19,..
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,148115,148208,148287
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,138525,138813,139084
Barbados,BRB,"Population, total",SP.POP.TOTL,286640,287021,287371
Barbados,BRB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,80.392,80.482,..
Barbados,BRB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.682,77.814,..
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.1756097560976,74.2268292682927,..
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,5069504,5034023,5022987
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4413995,4383826,4375874
Belarus,BLR,"Population, total",SP.POP.TOTL,9483499,9417849,9398861
Belarus,BLR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,79.4,79.4,..
Belarus,BLR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.2,69.3,..
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.5951219512195,81.7463414634146,..
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5781326,5802420,5828325
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5645728,5686560,5727672
Belgium,BEL,"Population, total",SP.POP.TOTL,11427054,11488980,11555997
Belgium,BEL,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,83.9,84,..
Belgium,BEL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.4,79.6,..
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.496,74.623,..
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,192273,196070,199860
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,190798,194281,197761
Belize,BLZ,"Population, total",SP.POP.TOTL,383071,390351,397621
Belize,BLZ,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.666,77.843,..
Belize,BLZ,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.579,71.65,..
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.47,61.771,..
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,5753796,5909895,6068950
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,5731239,5891256,6054248
Benin,BEN,"Population, total",SP.POP.TOTL,11485035,11801151,12123198
Benin,BEN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,63.003,63.324,..
Benin,BEN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.914,60.201,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6517073170732,81.8665853658537,..
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,..,..,..
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,..,..,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,63919,63913,63903
Bermuda,BMU,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,85.57,85.79,..
Bermuda,BMU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.92,78.13,..
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.46,71.777,..
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,354586,358062,361525
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,399810,405032,410087
Bhutan,BTN,"Population, total",SP.POP.TOTL,754396,763094,771612
Bhutan,BTN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,71.816,72.176,..
Bhutan,BTN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.123,71.405,..
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.239,71.513,..
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,5651979,5733491,5815010
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,5701161,5779611,5858019
Bolivia,BOL,"Population, total",SP.POP.TOTL,11353140,11513102,11673029
Bolivia,BOL,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,74.209,74.508,..
Bolivia,BOL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.434,68.684,..
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.262,77.401,..
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1695554,1684199,1674206
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1628375,1616799,1606609
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3323929,3300998,3280815
Bosnia and Herzegovina,BIH,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,79.72,79.857,..
Bosnia and Herzegovina,BIH,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.752,74.893,..
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.275,69.592,..
Botswana,BWA,"Population, female",SP.POP.TOTL.FE.IN,1166046,1189587,1212526
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,1088021,1114116,1139099
Botswana,BWA,"Population, total",SP.POP.TOTL,2254067,2303703,2351625
Botswana,BWA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,72.049,72.386,..
Botswana,BWA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,66.204,66.485,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.672,75.881,..
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,106473081,107316359,108123626
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,102996239,103733160,104435783
Brazil,BRA,"Population, total",SP.POP.TOTL,209469320,211049519,212559409
Brazil,BRA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,79.362,79.555,..
Brazil,BRA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,72.024,72.243,..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,..,..,..
British Virgin Islands,VGB,"Population, male",SP.POP.TOTL.MA.IN,..,..,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29795,30033,30237
British Virgin Islands,VGB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..,..,..
British Virgin Islands,VGB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..,..,..
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.722,75.86,..
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,206056,208314,210496
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,222904,224982,226987
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,428960,433296,437483
Brunei Darussalam,BRN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,76.96,77.106,..
Brunei Darussalam,BRN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.593,74.728,..
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.9634146341464,74.9146341463415,..
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3611859,3587537,3563441
Bulgaria,BGR,"Population, male",SP.POP.TOTL.MA.IN,3413178,3388224,3363847
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7025037,6975761,6927288
Bulgaria,BGR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,78.6,78.5,..
Bulgaria,BGR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.5,71.5,..
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.174,61.577,..
Burkina Faso,BFA,"Population, female",SP.POP.TOTL.FE.IN,9894592,10173609,10458565
Burkina Faso,BFA,"Population, male",SP.POP.TOTL.MA.IN,9856874,10147774,10444713
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19751466,20321383,20903278
Burkina Faso,BFA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,61.863,62.294,..
Burkina Faso,BFA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,60.361,60.739,..
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.247,61.584,..
Burundi,BDI,"Population, female",SP.POP.TOTL.FE.IN,5634849,5811589,5990917
Burundi,BDI,"Population, male",SP.POP.TOTL.MA.IN,5540530,5718988,5899864
Burundi,BDI,"Population, total",SP.POP.TOTL,11175379,11530577,11890781
Burundi,BDI,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,63.031,63.377,..
Burundi,BDI,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.435,59.764,..
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.782,72.981,..
Cabo Verde,CPV,"Population, female",SP.POP.TOTL.FE.IN,270898,273900,276871
Cabo Verde,CPV,"Population, male",SP.POP.TOTL.MA.IN,272866,276036,279117
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,543764,549936,555988
Cabo Verde,CPV,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,76.007,76.197,..
Cabo Verde,CPV,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.316,69.526,..
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.57,69.823,..
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,8319567,8439178,8556547
Cambodia,KHM,"Population, male",SP.POP.TOTL.MA.IN,7930228,8047364,8162424
Cambodia,KHM,"Population, total",SP.POP.TOTL,16249795,16486542,16718971
Cambodia,KHM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,71.629,71.909,..
Cambodia,KHM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.312,67.538,..
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.921,59.292,..
Cameroon,CMR,"Population, female",SP.POP.TOTL.FE.IN,12609010,12936459,13268789
Cameroon,CMR,"Population, male",SP.POP.TOTL.MA.IN,12607251,12939928,13277075
Cameroon,CMR,"Population, total",SP.POP.TOTL,25216261,25876387,26545864
Cameroon,CMR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,60.192,60.561,..
Cameroon,CMR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,57.656,58.029,..
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.0487804878049,82.0487804878049,..
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,18677710,18939365,19142488
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,18387468,18654019,18862750
Canada,CAN,"Population, total",SP.POP.TOTL,37065178,37593384,38005238
Canada,CAN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,84.2,84.2,..
Canada,CAN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80,80,..
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.6371062810432,73.7547323090936,..
Caribbean small states,CSS,"Population, female",SP.POP.TOTL.FE.IN,3645305,3666800,3687636
Caribbean small states,CSS,"Population, male",SP.POP.TOTL.MA.IN,3589560,3609947,3629472
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7358929,7401389,7442291
Caribbean small states,CSS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.9031906630584,76.0326046634668,..
Caribbean small states,CSS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.447392952061,71.5497512697555,..
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..
Cayman Islands,CYM,"Population, female",SP.POP.TOTL.FE.IN,..,..,..
Cayman Islands,CYM,"Population, male",SP.POP.TOTL.MA.IN,..,..,..
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64172,64948,65720
Cayman Islands,CYM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..,..,..
Cayman Islands,CYM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..,..,..
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.805,53.283,..
Central African Republic,CAF,"Population, female",SP.POP.TOTL.FE.IN,2353555,2393206,2435722
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,2312820,2351973,2394042
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4666375,4745179,4829764
Central African Republic,CAF,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,54.991,55.514,..
Central African Republic,CAF,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,50.649,51.081,..
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.9768226818402,77.1441029199517,..
Central Europe and the Baltics,CEB,"Population, female",SP.POP.TOTL.FE.IN,52910281,52834715,52752577
Central Europe and the Baltics,CEB,"Population, male",SP.POP.TOTL.MA.IN,49628170,49563822,49493753
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102538451,102398537,102246330
Central Europe and the Baltics,CEB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,80.7821089969263,80.8336121582183,..
Central Europe and the Baltics,CEB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.3610665333822,73.6373041066123,..
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.977,54.239,..
Chad,TCD,"Population, female",SP.POP.TOTL.FE.IN,7752004,7986360,8225689
Chad,TCD,"Population, male",SP.POP.TOTL.MA.IN,7725723,7960522,8200170
Chad,TCD,"Population, total",SP.POP.TOTL,15477727,15946882,16425859
Chad,TCD,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,55.4,55.669,..
Chad,TCD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,52.577,52.835,..
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.928,83.086,..
Channel Islands,CHI,"Population, female",SP.POP.TOTL.FE.IN,86150,87010,87789
Channel Islands,CHI,"Population, male",SP.POP.TOTL.MA.IN,84346,85254,86070
Channel Islands,CHI,"Population, total",SP.POP.TOTL,170496,172264,173859
Channel Islands,CHI,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,84.798,84.915,..
Channel Islands,CHI,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.974,81.173,..
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.042,80.181,..
Chile,CHL,"Population, female",SP.POP.TOTL.FE.IN,9500750,9610261,9690540
Chile,CHL,"Population, male",SP.POP.TOTL.MA.IN,9228416,9341774,9425669
Chile,CHL,"Population, total",SP.POP.TOTL,18729166,18952035,19116209
Chile,CHL,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,82.381,82.442,..
Chile,CHL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.552,77.771,..
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.704,76.912,..
China,CHN,"Population, female",SP.POP.TOTL.FE.IN,677972245,680596325,682951049
China,CHN,"Population, male",SP.POP.TOTL.MA.IN,714757755,717118675,719160951
China,CHN,"Population, total",SP.POP.TOTL,1392730000,1397715000,1402112000
China,CHN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,79.051,79.244,..
China,CHN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.549,74.761,..
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.109,77.287,..
Colombia,COL,"Population, female",SP.POP.TOTL.FE.IN,25290276,25626250,25898320
Colombia,COL,"Population, male",SP.POP.TOTL.MA.IN,24370780,24713193,24984564
Colombia,COL,"Population, total",SP.POP.TOTL,49661056,50339443,50882884
Colombia,COL,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,79.859,80.019,..
Colombia,COL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.33,74.528,..
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.118,64.321,..
Comoros,COM,"Population, female",SP.POP.TOTL.FE.IN,412488,421681,430942
Comoros,COM,"Population, male",SP.POP.TOTL.MA.IN,419834,429210,438653
Comoros,COM,"Population, total",SP.POP.TOTL,832322,850891,869595
